rest_id,name,address,price,cuisine
135059,Restaurant Bar Hacienda los Martinez,Santos Degollado 745 los Alamitos,medium,Bar
135055,la Cochinita Pibil Restaurante Yucateco,Venustiano Carranza 2175 Jardin,high,Mexican
132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,low,Mexican
132583,McDonalds Centro,Rayon sn col. Centro,low,American
132608,Hamburguesas La perica,cd. mier,low,Mexican
132954,la parroquia,venustiano carranza,medium,Breakfast-Brunch
132773,El cotorreo,Emiliano Zapata Col. Tres de Mayo,low,Mexican
132613,carnitas_mata,lic. Emilio portes gil,medium,Mexican
135071,Restaurante la Cantina,De La Estrella 2005 Estrella de Oriente,medium,Bar_Pub_Brewery
135054,Restaurante y Pescaderia Tampico,Ricardo B. Anaya 2700 Estrella de Oriente,high,Seafood
135030,Preambulo Wifi Zone Cafe,Anahuac 805,medium,Cafeteria
134999,Kiku Cuernavaca,Revolucion,medium,Japanese
135044,Restaurant Wu Zhuo Yi,Himno Nacional 100 Avenida,medium,Chinese
132609,Pollo_Frito_Buenos_Aires,tampico,low,Fast_Food
135035,El Mundo de la Pasta,Rio Papaloapan 265 Lomas de San Luis (3),high,Italian
135074,Restaurante la Parroquia Potosina,Venustiano Carranza 303 Centro,high,Contemporary
132767,Restaurant Familiar El Chino,Paseo de las Fuentes,medium,Vietnamese
132870,Tortas y hamburguesas el gordo,Ricardo B. Anaya,low,Burgers
135048,Restaurante Bar Fu-hao,Jesus Goytortua 390 Tangamanga,high,Bar
135026,la Cantina,Capitan Caldera No. 420 Tequisqueapan,high,Bar_Pub_Brewery
135072,Sushi Itto,Venustiano Carranza 1809 C Polanco,medium,Japanese
132630,palomo tec,blvrd emilio portes gil,low,Mexican
132667,little pizza Emilio Portes Gil,calle emilio portes gil,low,Armenian
135069,Abondance Restaurante Bar,Industrias 908 Valle Dorado,low,Bar
132856,Unicols Pizza,Plaza del Carmen,low,Italian
132958,tacos los volcanes,avenida hivno nacional,low,American
132706,Gorditas Dona Tota,Zaragoza entre Francisco Zarco y Lopez Velarde,medium,Mexican
132858,Hamburguesas Valle Dorado,Av. Coral,low,Burgers
132951,VIPS,NICOLAS ZAPATA 300,low,American
135073,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,high,Bar_Pub_Brewery
